#TYPE Microsoft.Management.Infrastructure.CimInstance#ROOT/StandardCimv2/MSFT_NetTCPConnection
"State","AppliedSetting","OffloadState","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","AvailableRequestedStates","EnabledDefault","EnabledState","OtherEnabledState","RequestedState","TimeOfLastStateChange","TransitioningToState","AggregationBehavior","Directionality","CreationTime","LocalAddress","LocalPort","OwningProcess","RemoteAddress","RemotePort","PSComputerName"
"Bound",,"InHost",,,,"::++64726++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/29/2023 10:25:24 AM","::","64726","2320","::","0",
"Bound",,"InHost",,,,"::++64720++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/29/2023 10:25:24 AM","::","64720","2320","::","0",
"Bound",,"InHost",,,,"::++64719++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/29/2023 10:25:24 AM","::","64719","2320","::","0",
"Bound",,"InHost",,,,"::++64718++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/29/2023 10:25:24 AM","::","64718","2320","::","0",
"Bound",,"InHost",,,,"::++64717++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/29/2023 10:25:24 AM","::","64717","2320","::","0",
"Established","Internet","InHost",,,,"::1++64726++::1++5426",,,,,,,,,,,,"2",,,"5",,"12",,,"11/29/2023 10:25:24 AM","::1","64726","2320","::1","5426",
"Established","Internet","InHost",,,,"::1++64720++::1++5426",,,,,,,,,,,,"2",,,"5",,"12",,,"11/29/2023 10:25:24 AM","::1","64720","2320","::1","5426",
"Established","Internet","InHost",,,,"::1++64719++::1++5426",,,,,,,,,,,,"2",,,"5",,"12",,,"11/29/2023 10:25:24 AM","::1","64719","2320","::1","5426",
"Established","Internet","InHost",,,,"::1++64718++::1++5426",,,,,,,,,,,,"2",,,"5",,"12",,,"11/29/2023 10:25:24 AM","::1","64718","2320","::1","5426",
"Established","Internet","InHost",,,,"::1++64717++::1++5426",,,,,,,,,,,,"2",,,"5",,"12",,,"11/29/2023 10:25:24 AM","::1","64717","2320","::1","5426",
"Listen",,"InHost",,,,"::++54236++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/27/2023 12:53:44 PM","::","54236","4","::","0",
"Listen",,"InHost",,,,"::++54235++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/27/2023 12:53:44 PM","::","54235","4","::","0",
"Listen",,"InHost",,,,"::++49674++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/27/2023 12:53:46 PM","::","49674","1272","::","0",
"Listen",,"InHost",,,,"::++49668++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/27/2023 12:53:44 PM","::","49668","5008","::","0",
"Listen",,"InHost",,,,"::++49667++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/27/2023 12:53:42 PM","::","49667","2364","::","0",
"Listen",,"InHost",,,,"::++49666++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/27/2023 12:53:42 PM","::","49666","1056","::","0",
"Listen",,"InHost",,,,"::++49665++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/27/2023 12:53:42 PM","::","49665","1200","::","0",
"Listen",,"InHost",,,,"::++49664++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/27/2023 12:53:42 PM","::","49664","1280","::","0",
"Listen",,"InHost",,,,"::1++42050++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/27/2023 12:59:50 PM","::1","42050","19768","::","0",
"Listen",,"InHost",,,,"::1++13337++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/27/2023 12:53:44 PM","::1","13337","5904","::","0",
"Listen",,"InHost",,,,"::++12177++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/29/2023 10:25:29 AM","::","12177","18352","::","0",
"Listen",,"InHost",,,,"::++9013++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/27/2023 12:54:53 PM","::","9013","1216","::","0",
"Listen",,"InHost",,,,"::++9012++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/27/2023 12:54:53 PM","::","9012","1216","::","0",
"Listen",,"InHost",,,,"::++7680++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/29/2023 10:25:18 AM","::","7680","16628","::","0",
"Established","Internet","InHost",,,,"::1++5426++::1++64726",,,,,,,,,,,,"2",,,"5",,"12",,,"11/29/2023 10:25:24 AM","::1","5426","4","::1","64726",
