#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"ACCIMonitor","1","171","4405256192","10575872","1912832","10112","C:\Windows\System32\ASUSACCI\ACCIMonitor.exe","ASUSTeK COMPUTER INC.","0.0625","1.0.0.0","1.0.0.0","Armoury Crate Control Interface Monitor","Armoury Crate Control Interface Monitor","Process","8",,"False",,"5712","Microsoft.Win32.SafeHandles.SafeProcessHandle","171","26348",".","0","","System.Diagnostics.ProcessModule (ACCIMonitor.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10112","10112","1912832","1912832","144344","144344","2109440","2109440","10686464","10686464","116580352","4411547648","True","Normal","1912832","1912832","00:00:00.0312500","ACCIMonitor","65535","True","1","System.Diagnostics.ProcessStartInfo","11/29/2023 10:25:38 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00.0312500","110288896","4405256192","False",,,,"10575872","10575872",,
"AcPowerNotification","1","502","344805376","3231744","26046464","35208",,,"5.6875",,,,,"Process","6",,,,,,"502","11008",".","0","",,,,,"35208","35208","26046464","26046464","572328","572328","58314752","58314752","49750016","49750016","437698560","437698560",,,"26046464","26046464","00:00:03.1718750","AcPowerNotification",,"True","1","System.Diagnostics.ProcessStartInfo","11/27/2023 12:54:51 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:05.6875000","00:00:02.5156250","344805376","344805376","False",,,,"3231744","3231744",,
"amdfendrsr","0","139","4381605888","6443008","2244608","8624",,,,,,,,"Process","8",,,,,,"139","3180",".","0","",,,,,"8624","8624","2244608","2244608","99224","99224","2404352","2404352","8003584","8003584","91881472","4386848768",,,"2244608","2244608",,"amdfendrsr",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"86638592","4381605888","False",,,,"6443008","6443008",,
"AMDRSServ","1","589","4915511296","12091392","7254016","23208","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.21.30024.0_x64__0a9344xs7nr4m\radeonsoftware\AMDRSServ.exe","Advanced Micro Devices, Inc.","107.328125","10,01,01,1884","10,01,01,1884","Radeon Settings: Host Service","Radeon Settings","Process","8",,"False",,"6260","Microsoft.Win32.SafeHandles.SafeProcessHandle","589","8064",".","0","","System.Diagnostics.ProcessModule (AMDRSServ.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23208","23208","7254016","7254016","1107456","1107456","8593408","8593408","96116736","96116736","632496128","4927463424","True","Normal","7254016","7254016","00:01:14.5625000","AMDRSServ","65535","True","1","System.Diagnostics.ProcessStartInfo","11/27/2023 12:55:13 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:47.3281250","00:00:32.7656250","620544000","4915511296","False",,,,"12091392","12091392",,
"AMDRSSrcExt","1","316","4830949376","11206656","44101632","30728","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.21.30024.0_x64__0a9344xs7nr4m\radeonsoftware\AMDRSSrcExt.exe","Advanced Micro Devices, Inc.","0.40625","10,01,01,1884","10,01,01,1884","Radeon Settings: Source Extension","Radeon Settings","Process","8",,"False",,"6040","Microsoft.Win32.SafeHandles.SafeProcessHandle","316","3220",".","0","","System.Diagnostics.ProcessModule (AMDRSSrcExt.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30728","30728","44101632","44101632","758648","758648","44216320","44216320","51634176","51634176","575791104","4870758400","True","Normal","44101632","44101632","00:00:00.2343750","AMDRSSrcExt","65535","True","1","System.Diagnostics.ProcessStartInfo","11/27/2023 1:00:13 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4062500","00:00:00.1718750","535982080","4830949376","False",,,,"11206656","11206656",,
"ApplicationFrameHost","1","524","2203609997312","22044672","32350208","32904","C:\Windows\system32\ApplicationFrameHost.exe","Microsoft Corporation","2.8125","10.0.19041.3636 (WinBuild.160101.0800)","10.0.19041.3636","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"6476","Microsoft.Win32.SafeHandles.SafeProcessHandle","524","13872",".","132508","Calculator","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","32904","32904","32350208","32350208","424136","424136","58163200","58163200","53993472","53993472","303267840","2203621490688","True","Normal","32350208","32350208","00:00:01.7968750","ApplicationFrameHost","65535","True","1","System.Diagnostics.ProcessStartInfo","11/27/2023 12:56:27 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.8125000","00:00:01.0156250","291774464","2203609997312","False",,,,"22044672","22044672",,
"ArmouryCrate","1","762","5325320192","8335360","75665408","1607764","C:\Program Files\WindowsApps\B9ECED6F.ArmouryCrate_5.7.6.0_x64__qmba6cd70vzyy\ArmouryCrate.exe",,"0.515625",,,,,"Process","8",,"False",,"6444","Microsoft.Win32.SafeHandles.SafeProcessHandle","762","11328",".","0","","System.Diagnostics.ProcessModule (ArmouryCrate.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","1607764","1607764","75665408","75665408","886904","886904","76730368","76730368","86867968","86867968","1037692928","5332660224","True","Normal","75665408","75665408","00:00:00.2187500","ArmouryCrate","65535","True","1","System.Diagnostics.ProcessStartInfo","11/27/2023 12:54:55 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5156250","00:00:00.2968750","1030352896","5325320192","False",,,,"8335360","8335360",,
"ArmouryCrate.DenoiseAI","1","299","4580823040","19619840","64348160","20640",,,"27.421875",,,,,"Process","24",,,,,,"299","13016",".","0","",,,,,"20640","20640","64348160","64348160","373288","373288","64790528","64790528","60129280","60129280","299778048","4594745344",,,"64348160","64348160","00:00:06.7656250","ArmouryCrate.DenoiseAI",,"True","1","System.Diagnostics.ProcessStartInfo","11/27/2023 12:54:58 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:27.4218750","00:00:20.6562500","285855744","4580823040","False",,,,"19619840","19619840",,
"ArmouryCrate.Service","0","1265","5074878464","30769152","55734272","58112",,,,,,,,"Process","8",,,,,,"1265","5340",".","0","",,,,,"58112","58112","55734272","55734272","506440","506440","56143872","56143872","81760256","81760256","791859200","5086826496",,,"55734272","55734272",,"ArmouryCrate.Service",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"779911168","5074878464","False",,,,"30769152","30769152",,
"ArmouryCrate.UserSessionHelper","1","2218","5168041984","56934400","64012288","170416",,,"198.28125",,,,,"Process","8",,,,,,"2218","10372",".","0","",,,,,"170416","170416","64012288","64012288","823192","823192","65699840","65699840","101806080","101806080","1054793728","5349761024",,,"64012288","64012288","00:01:36.4531250","ArmouryCrate.UserSessionHelper",,"True","1","System.Diagnostics.ProcessStartInfo","11/27/2023 12:54:51 PM",,"System.Diagnostics.ProcessThreadCollection","00:03:18.2812500","00:01:41.8281250","873074688","5168041984","False",,,,"56934400","56934400",,
"ArmouryCrateControlInterface","0","262","4384055296","10629120","3182592","11736",,,,,,,,"Process","8",,,,,,"262","5324",".","0","",,,,,"11736","11736","3182592","3182592","115768","115768","4050944","4050944","12021760","12021760","113082368","4408049664",,,"3182592","3182592",,"ArmouryCrateControlInterface",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"89088000","4384055296","False",,,,"10629120","10629120",,
"ArmourySocketServer","1","259","4442714112","1609728","4272128","19480",,,"0.5",,,,,"Process","6",,,,,,"259","1216",".","0","",,,,,"19480","19480","4272128","4272128","199480","199480","4628480","4628480","15757312","15757312","161378304","4456345600",,,"4272128","4272128","00:00:00.3593750","ArmourySocketServer",,"True","1","System.Diagnostics.ProcessStartInfo","11/27/2023 12:54:51 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5000000","00:00:00.1406250","147746816","4442714112","False",,,,"1609728","1609728",,
"ArmourySwAgent","1","283","227115008","1470464","14192640","22656",,,"7.296875",,,,,"Process","6",,,,,,"283","15176",".","0","",,,,,"22656","22656","14192640","14192640","368128","368128","14491648","14491648","25853952","25853952","272678912","272678912",,,"14192640","14192640","00:00:03.2500000","ArmourySwAgent",,"True","1","System.Diagnostics.ProcessStartInfo","11/27/2023 12:55:03 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:07.2968750","00:00:04.0468750","227115008","227115008","False",,,,"1470464","1470464",,
"asus_framework","1","268","167153664","15982592","29507584","83264",,,"65.375",,,,,"Process","6",,,,,,"268","1424",".","0","",,,,,"83264","83264","29507584","29507584","223496","223496","46927872","46927872","54591488","54591488","173707264","173707264",,,"29507584","29507584","00:00:01.4531250","asus_framework",,"True","1","System.Diagnostics.ProcessStartInfo","11/27/2023 12:54:52 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:05.3750000","00:01:03.9218750","167153664","167153664","False",,,,"15982592","15982592",,
"asus_framework","1","439","315305984","2797568","27185152","61584",,,"0.53125",,,,,"Process","6",,,,,,"439","13452",".","0","",,,,,"61584","61584","27185152","27185152","255768","255768","31997952","31997952","49209344","49209344","332455936","332455936",,,"27185152","27185152","00:00:00.1875000","asus_framework",,"True","1","System.Diagnostics.ProcessStartInfo","11/27/2023 12:55:01 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5312500","00:00:00.3437500","315305984","315305984","False",,,,"2797568","2797568",,
"AsusAppService","0","347","4455907328","17805312","5976064","19160",,,,,,,,"Process","8",,,,,,"347","5500",".","0","",,,,,"19160","19160","5976064","5976064","238248","238248","7725056","7725056","26017792","26017792","194314240","4489281536",,,"5976064","5976064",,"AsusAppService",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"160940032","4455907328","False",,,,"17805312","17805312",,
"AsusCertService","0","143","4380827648","5554176","1454080","8056",,,,,,,,"Process","8",,,,,,"143","3196",".","0","",,,,,"8056","8056","1454080","1454080","96552","96552","1572864","1572864","6828032","6828032","90054656","4385021952",,,"1454080","1454080",,"AsusCertService",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"85860352","4380827648","False",,,,"5554176","5554176",,
"AsusLinkNear","0","348","2203425271808","11481088","4079616","16024",,,,,,,,"Process","8",,,,,,"348","5332",".","0","",,,,,"16024","16024","4079616","4079616","132632","132632","5689344","5689344","14381056","14381056","113221632","2203431444480",,,"4079616","4079616",,"AsusLinkNear",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"107048960","2203425271808","False",,,,"11481088","11481088",,
"AsusLinkRemote","0","209","61739008","9314304","5754880","11136",,,,,,,,"Process","8",,,,,,"209","5364",".","0","",,,,,"11136","11136","5754880","5754880","110960","110960","10080256","10080256","16924672","16924672","72323072","72323072",,,"5754880","5754880",,"AsusLinkRemote",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"61739008","61739008","False",,,,"9314304","9314304",,
"AsusMultiAntennaSvc","0","1462","4398063616","11386880","4075520","12360",,,,,,,,"Process","8",,,,,,"1462","5348",".","0","",,,,,"12360","12360","4075520","4075520","149648","149648","4186112","4186112","11431936","11431936","108265472","4403232768",,,"4075520","4075520",,"AsusMultiAntennaSvc",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"103096320","4398063616","False",,,,"11386880","11386880",,
"AsusOptimization","0","213","4387311616","7643136","2465792","10696",,,,,,,,"Process","8",,,,,,"213","4764",".","0","",,,,,"10696","10696","2465792","2465792","98544","98544","2711552","2711552","8146944","8146944","106233856","4401201152",,,"2465792","2465792",,"AsusOptimization",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"92344320","4387311616","False",,,,"7643136","7643136",,
