#TYPE Selected.System.Diagnostics.Process
"ProcessName","Path","Id"
"ACCIMonitor","C:\Windows\System32\ASUSACCI\ACCIMonitor.exe","29448"
"AcPowerNotification","C:\Program Files (x86)\ASUS\ArmouryDevice\dll\AcPowerNotification\AcPowerNotification.exe","5360"
"amdfendrsr","C:\Windows\System32\amdfendrsr.exe","2752"
"ApplicationFrameHost","C:\Windows\system32\ApplicationFrameHost.exe","23204"
"ArmouryCrate","C:\Program Files\WindowsApps\B9ECED6F.ArmouryCrate_5.7.3.0_x64__qmba6cd70vzyy\ArmouryCrate.exe","14468"
"ArmouryCrate.DenoiseAI","C:\Program Files\ASUS\ARMOURY CRATE Service\DenoiseAIPlugin\ArmouryCrate.DenoiseAI.exe","5376"
"ArmouryCrate.Service","C:\Program Files\ASUS\ARMOURY CRATE Service\ArmouryCrate.Service.exe","5152"
"ArmouryCrate.UserSessionHelper","C:\Program Files\ASUS\ARMOURY CRATE Service\ArmouryCrate.UserSessionHelper.exe","11236"
"ArmouryCrateControlInterface","C:\Windows\System32\ASUSACCI\ArmouryCrateControlInterface.exe","5164"
"ArmourySocketServer","C:\Program Files (x86)\ASUS\ArmouryDevice\dll\ArmourySocketServer\ArmourySocketServer.exe","5708"
"ArmourySwAgent","C:\Program Files (x86)\ASUS\ArmouryDevice\dll\SwAgent\ArmourySwAgent.exe","15528"
"asus_framework","C:\Program Files (x86)\ASUS\ArmouryDevice\asus_framework.exe","6040"
"asus_framework","C:\Program Files (x86)\ASUS\ArmouryDevice\asus_framework.exe","12676"
"AsusAppService","C:\Windows\System32\DriverStore\FileRepository\asussci2.inf_amd64_4fc38a913e0f2ea5\AsusAppService\AsusAppService.exe","5476"
"AsusCertService","C:\Program Files (x86)\ASUS\AsusCertService\AsusCertService.exe","3004"
"AsusLinkNear","C:\Windows\System32\DriverStore\FileRepository\asussci2.inf_amd64_4fc38a913e0f2ea5\ASUSLinkNear\AsusLinkNear.exe","5540"
"AsusLinkRemote","C:\Windows\System32\DriverStore\FileRepository\asussci2.inf_amd64_4fc38a913e0f2ea5\ASUSLinkRemote\AsusLinkRemote.exe","5868"
"AsusMultiAntennaSvc","C:\Program Files\ASUS\ASUS MultiAntenna Service\AsusMultiAntennaSvc.exe","5176"
"AsusOptimization","C:\Windows\System32\DriverStore\FileRepository\asussci2.inf_amd64_4fc38a913e0f2ea5\ASUSOptimization\AsusOptimization.exe","4600"
"AsusOptimizationStartupTask","C:\Windows\System32\DriverStore\FileRepository\asussci2.inf_amd64_4fc38a913e0f2ea5\ASUSOptimization\AsusOptimizationStartupTask.exe","9156"
"AsusOSD","C:\Windows\System32\DriverStore\FileRepository\asussci2.inf_amd64_4fc38a913e0f2ea5\ASUSOptimization\AsusOSD.exe","15512"
"ASUSSmartDisplayControl","C:\Program Files (x86)\ASUS\ASUS Smart Display Control\ASUSSmartDisplayControl.exe","5968"
"AsusSoftwareManager","C:\Windows\System32\DriverStore\FileRepository\asussci2.inf_amd64_4fc38a913e0f2ea5\ASUSSoftwareManager\AsusSoftwareManager.exe","6292"
"AsusSoftwareManagerAgent","C:\Windows\System32\DriverStore\FileRepository\asussci2.inf_amd64_4fc38a913e0f2ea5\ASUSSoftwareManager\AsusSoftwareManagerAgent.exe","11160"
