#TYPE System.ServiceProcess.ServiceController
"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"AMD Crash Defender Service","System.ServiceProcess.ServiceController[]","False","True","True","AMD Crash Defender Service","System.ServiceProcess.ServiceController[]",".","AMD Crash Defender Service","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"AMD External Events Utility","System.ServiceProcess.ServiceController[]","False","True","True","AMD External Events Utility","System.ServiceProcess.ServiceController[]",".","AMD External Events Utility","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"Appinfo","System.ServiceProcess.ServiceController[]","False","False","True","Application Information","System.ServiceProcess.ServiceController[]",".","Appinfo","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"AppXSvc","System.ServiceProcess.ServiceController[]","False","True","True","AppX Deployment Service (AppXSVC)","System.ServiceProcess.ServiceController[]",".","AppXSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"ArmouryCrateControlInterface","System.ServiceProcess.ServiceController[]","False","True","True","Armoury Crate Control Interface","System.ServiceProcess.ServiceController[]",".","ArmouryCrateControlInterface","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"ArmouryCrateService","System.ServiceProcess.ServiceController[]","False","True","True","ARMOURY CRATE Service","System.ServiceProcess.ServiceController[]",".","ArmouryCrateService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"AsusAppService","System.ServiceProcess.ServiceController[]","False","True","True","ASUS App Service","System.ServiceProcess.ServiceController[]",".","AsusAppService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"AsusCertService","System.ServiceProcess.ServiceController[]","False","False","True","AsusCertService","System.ServiceProcess.ServiceController[]",".","AsusCertService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"ASUSLinkNear","System.ServiceProcess.ServiceController[]","False","True","True","ASUS Link Near","System.ServiceProcess.ServiceController[]",".","ASUSLinkNear","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"ASUSLinkRemote","System.ServiceProcess.ServiceController[]","False","True","True","ASUS Link Remote","System.ServiceProcess.ServiceController[]",".","ASUSLinkRemote","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
